zipcode,evictions,violations,total_households,renter_households,median_income,poverty_total,poverty_below,total_pop,nh_white_alone,black_alone,asian_alone,hispanic_total,poverty_rate,nh_white_alone_pct,black_alone_pct,asian_alone_pct,hispanic_pct,renter_pct,eviction_rate,violation_rate
20001,267,1671,20608,13158,123474,42976,5423,47697,21197,16752,3972,4480,12.61867088607595,44.440950164580585,35.12170576765835,8.32756777155796,9.392624274063358,63.848990683229815,2.0291837665298678,12.699498404012768
20002,619,5749,28881,17631,94939,67826,9481,69141,28547,31710,1785,5437,13.978415356942767,41.28809244876412,45.862802100056406,2.581680912917083,7.863640965563125,61.0470551573699,3.5108615506777836,32.60733934547105
20003,212,973,14196,7678,132681,30883,3032,33584,20197,8878,1263,2204,9.817699057734028,60.13875655073845,26.43520724154359,3.760719390185803,6.562648880419247,54.08565793181178,2.7611357124251104,12.672570982026569
20004,8,3,1323,764,143798,1885,138,1885,1274,78,128,345,7.320954907161805,67.58620689655173,4.137931034482759,6.790450928381962,18.30238726790451,57.747543461829174,1.0471204188481675,0.3926701570680628
20005,73,258,8038,5931,95653,13012,1661,13058,7167,2526,913,2083,12.765139870888412,54.88589370500843,19.344463164343697,6.991882370960331,15.951906877010261,73.78701169445135,1.2308211094250547,4.350025290844714
20006,8,28,595,543,32286,771,327,2830,1628,303,452,326,42.4124513618677,57.526501766784456,10.706713780918728,15.971731448763252,11.519434628975265,91.26050420168067,1.4732965009208103,5.156537753222836
20007,47,786,11969,5140,135400,24962,2673,26412,20315,1052,1491,2848,10.708276580402211,76.91579585037104,3.983038013024383,5.64516129032258,10.78297743449947,42.94427270448659,0.9143968871595332,15.29182879377432
20008,103,769,15814,9808,114521,29913,2145,30255,20709,2996,2287,3044,7.170795306388526,68.44819038175508,9.902495455296645,7.559081143612626,10.061146917864816,62.020994055899834,1.050163132137031,7.8405383360522025
20009,189,2065,27898,18259,118626,53453,4962,53715,32021,9455,3170,6935,9.282921445007764,59.61277110676719,17.60215954575072,5.901517267057619,12.91073257004561,65.4491361387913,1.0351059751355496,11.30949120981434
20010,170,1863,13088,7964,101434,34984,3913,35297,13221,9335,2046,9807,11.185113194603247,37.456441057313654,26.44700682777573,5.796526616992946,27.78423095447205,60.849633251833744,2.134605725765947,23.392767453540934
20011,258,4476,24221,11395,78082,69221,8335,69686,11478,38433,1347,16935,12.041143583594573,16.471027179060357,55.15168039491433,1.932956404442786,24.301868381023446,47.04595185995623,2.2641509433962264,39.28038613426942
20012,67,567,6367,2543,104425,18255,1230,18375,3908,10454,192,3328,6.737880032867707,21.268027210884355,56.89251700680272,1.0448979591836736,18.111564625850342,39.9403172608764,2.634683444750295,22.29650019661817
20015,23,188,6109,1604,176298,16002,780,16113,10648,1601,1021,2108,4.874390701162355,66.08328678706634,9.936076460001242,6.336498479488611,13.082604108483833,26.256343100343756,1.4339152119700749,11.72069825436409
20016,58,305,13149,4111,158566,31096,2724,34686,24957,2824,2748,2962,8.759969127862105,71.95121951219512,8.141613331026926,7.922504756962463,8.53946837340714,31.264734960833522,1.4108489418632937,7.4191194356604235
20017,112,1078,7545,2881,89568,20672,2912,21372,5804,12637,910,1565,14.086687306501547,27.157027886954893,59.12876661051843,4.257907542579075,7.322665169380498,38.18422796554009,3.88753904894134,37.4175633460604
20018,128,1462,8133,3317,70113,20530,3206,20864,2769,14862,406,2340,15.616171456405262,13.271664110429448,71.232745398773,1.9459355828220857,11.215490797546012,40.78445837944178,3.858908652396744,44.07597226409406
20019,793,7886,23438,14576,39874,65140,17623,65769,1118,61265,82,2795,27.054037457783238,1.6998890054584987,93.15178883668598,0.12467880004257326,4.249722513646247,62.1896066217254,5.440450054884742,54.102634467618
20020,814,7710,20918,13769,40645,56081,16957,57031,1762,51426,386,2125,30.236622028851123,3.0895477897985306,90.17201171292805,0.6768248847118234,3.7260437306026546,65.82369251362464,5.911830924540635,55.99535187740577
20024,246,575,8345,5228,86790,14442,2198,14603,7058,5257,488,1225,15.219498684392743,48.33253441073752,35.999452167362875,3.341779086489077,8.388687256043278,62.64829239065308,4.705432287681713,10.998469778117826
20032,679,6020,17033,13044,43779,41235,10746,42009,3686,35090,230,1766,26.06038559476173,8.77431026684758,83.52971982194292,0.5475017258206575,4.203861077388179,76.58075500499031,5.205458448328733,46.15148727384238
20036,13,83,3904,2169,101154,5405,656,5426,4082,170,506,504,12.136910268270121,75.23037228160707,3.133063029856248,9.325469959454479,9.288610394397347,55.558401639344254,0.599354541263255,3.826648224988474
20037,29,134,6383,3813,97901,9845,2082,14879,9802,912,1846,1901,21.147790756729304,65.87808320451643,6.12944418307682,12.406747765306807,12.77639626318973,59.73680087733041,0.7605559926567007,3.5142932074482034
20052,0,1,0,0,NA,0,0,126,53,13,36,21,NA,42.06349206349206,10.317460317460316,28.57142857142857,16.666666666666664,NA,NA,Inf
